"Margin","Quantity sold","Sales revenue","State","City","Year","Quarter","Lines","Category","SKU number","Month","Month Name"
"77.9","3","267","California","Los Angeles","2014","Q3","Accessories","Jewelry","136786","7","July"
"79.8","7","505","California","Los Angeles","2014","Q3","Accessories","Jewelry","136786","8","August"
"-8.4","1","49","California","Los Angeles","2014","Q3","Accessories","Jewelry","136786","9","September"
"71.4","1","199","California","Los Angeles","2014","Q3","Accessories","Jewelry","144289","7","July"
"99.8","2","398","California","Los Angeles","2014","Q3","Accessories","Jewelry","144912","7","July"
"200.2","2","398","California","Los Angeles","2014","Q3","Accessories","Jewelry","145403","7","July"
"300.3","3","597","California","Los Angeles","2014","Q3","Accessories","Jewelry","145403","8","August"
"1356","22","3355","California","Los Angeles","2014","Q3","Accessories","Jewelry","145403","9","September"
"249.4","2","498","California","Los Angeles","2014","Q3","Accessories","Jewelry","145404","7","July"
"1661.7","17","3683","California","Los Angeles","2014","Q3","Accessories","Jewelry","145404","8","August"
"5130.7","88","15188","California","Los Angeles","2014","Q3","Accessories","Jewelry","145404","9","September"
"78.8","2","283","California","Los Angeles","2014","Q3","Accessories","Jewelry","146751","8","August"
"18.3","2","208","California","Los Angeles","2014","Q3","Accessories","Jewelry","146751","9","September"
"92.1","4","656","California","Los Angeles","2014","Q3","Accessories","Jewelry","147070","7","July"
"365.6","7","1363","California","Los Angeles","2014","Q3","Accessories","Jewelry","147070","8","August"
"-2.7","1","129","California","Los Angeles","2014","Q3","Accessories","Jewelry","147070","9","September"
"-191.7","6","774","California","Los Angeles","2014","Q3","Accessories","Jewelry","148002","7","July"
"-239.9","7","883","California","Los Angeles","2014","Q3","Accessories","Jewelry","148002","8","August"
"-252.3","4","366","California","Los Angeles","2014","Q3","Accessories","Jewelry","148002","9","September"
"63.9","1","169","California","Los Angeles","2014","Q3","Accessories","Jewelry","148540","7","July"
"94.7","2","298","California","Los Angeles","2014","Q3","Accessories","Jewelry","148540","8","August"
"-21.4","2","158","California","Los Angeles","2014","Q3","Accessories","Jewelry","148540","9","September"
"2174.8","48","6212","California","Los Angeles","2014","Q3","Accessories","Jewelry","149110","7","July"
"5182.9","123","15424","California","Los Angeles","2014","Q3","Accessories","Jewelry","149110","8","August"
"-325.7","28","1692","California","Los Angeles","2014","Q3","Accessories","Jewelry","149110","9","September"
"69.9","1","149","California","Los Angeles","2014","Q3","Accessories","Jewelry","151810","8","August"
"-26","2","98","California","Los Angeles","2014","Q3","Accessories","Jewelry","151810","9","September"
"240.7","2","538","California","Los Angeles","2014","Q3","Accessories","Jewelry","155570","8","August"
"1423","12","3101","California","Los Angeles","2014","Q3","Accessories","Jewelry","155570","9","September"
"9598.7","133","23437","California","Los Angeles","2014","Q3","Accessories","Jewelry","155939","9","September"
"243.8","3","597","California","Los Angeles","2014","Q3","Accessories","Jewelry","156173","9","September"
"536.6","9","1521","California","Los Angeles","2014","Q3","Accessories","Jewelry","159705","9","September"
"117.8","5","409","California","Los Angeles","2014","Q3","Accessories","Lounge wear","150850","8","August"
"-12.6","-1","-69","California","Los Angeles","2014","Q3","Accessories","Lounge wear","150850","9","September"
"78.7","1","169","California","Los Angeles","2014","Q3","Accessories","Lounge wear","155576","8","August"
"78.7","1","169","California","Los Angeles","2014","Q3","Accessories","Lounge wear","155576","9","September"
"24.6","15","1935","California","Los Angeles","2014","Q3","Dresses","Casual dresses","143903","7","July"
"15.1","4","530","California","Los Angeles","2014","Q3","Dresses","Casual dresses","143903","8","August"
"-117.7","4","366","California","Los Angeles","2014","Q3","Dresses","Casual dresses","143903","9","September"
"492.6","6","1194","California","Los Angeles","2014","Q3","Jackets","Fancy fabric","157518","8","August"
"139.3","2","368","California","Los Angeles","2014","Q3","Jackets","Fancy fabric","157518","9","September"
"117.3","2","275","California","Los Angeles","2014","Q3","Outerwear","Day wear","158152","9","September"
"176","6","574","California","Los Angeles","2014","Q3","Outerwear","Hats,gloves,scarves","157599","8","August"
"743.9","25","2430","California","Los Angeles","2014","Q3","Outerwear","Hats,gloves,scarves","157599","9","September"
"97.8","2","328","California","Los Angeles","2014","Q3","Shirt Waist","2 Pocket shirts","146379","7","July"
"77.8","1","199","California","Los Angeles","2014","Q3","Shirt Waist","2 Pocket shirts","146379","8","August"
"839.5","17","2411","California","Los Angeles","2014","Q3","Sweat-T-Shirts","T-Shirts","144944","7","July"
"2214.9","45","6245","California","Los Angeles","2014","Q3","Sweat-T-Shirts","T-Shirts","144944","8","August"
"522.5","7","1183","California","Los Angeles","2014","Q3","Sweat-T-Shirts","T-Shirts","144944","9","September"
"2062.2","27","5174","California","Los Angeles","2014","Q3","Sweaters","Cardigan","144940","7","July"
"4229.2","50","9920","California","Los Angeles","2014","Q3","Sweaters","Cardigan","144940","8","August"
"2489.7","31","6005","California","Los Angeles","2014","Q3","Sweaters","Cardigan","144940","9","September"
"69.9","1","169","California","Los Angeles","2014","Q3","Sweaters","Soft fabric","148622","7","July"
"131.2","3","433","California","Los Angeles","2014","Q3","Sweaters","Soft fabric","148622","8","August"
"-18.1","2","158","California","Los Angeles","2014","Q3","Sweaters","Soft fabric","148622","9","September"
"826.8","10","1960","California","Los Angeles","2014","Q3","Trousers","Party pants","156171","9","September"
"451","20","2010","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","138627","10","October"
"440.3","28","2312","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","138627","11","November"
"344.1","22","1726","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","138627","12","December"
"25.6","3","287","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","143848","10","October"
"-84","5","379","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","143848","11","November"
"-5.3","1","79","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","143848","12","December"
"70.7","1","169","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","146552","10","October"
"173.1","3","473","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","146552","11","November"
"74.7","1","169","California","Los Angeles","2014","Q4","Accessories","Belts,bags,wallets","146552","12","December"
"57.1","6","474","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","115121","10","October"
"70.4","8","632","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","115121","11","November"
"38","4","316","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","115121","12","December"
"-11.6","1","79","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","141401","11","November"
"22.2","3","297","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","143269","10","October"
"-1.8","2","178","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","143269","11","November"
"-9.2","1","79","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","143269","12","December"
"30.2","2","198","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","143994","10","October"
"2","6","514","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","143994","11","November"
"-50.6","4","316","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","143994","12","December"
"10.7","3","297","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","143995","10","October"
"-13","1","79","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","143995","12","December"
"1285.3","16","2864","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","144290","10","October"
"640.6","8","1432","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","144290","11","November"
"218.3","4","676","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","144290","12","December"
"172.4","2","338","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","144945","10","October"
"346.9","5","743","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","144945","11","November"
"116.4","2","270","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","144945","12","December"
"-13","1","79","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","149121","10","October"
"602.8","6","1194","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","155716","10","October"
"430.1","11","1373","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","155716","11","November"
"72.5","4","398","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","155716","12","December"
"78.6","1","199","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","159454","11","November"
"235.8","3","597","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","159454","12","December"
"345.6","5","995","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","159769","10","October"
"69.1","1","199","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","159769","11","November"
"69.1","1","199","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","159769","12","December"
"93.5","1","179","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","160209","11","November"
"841.4","9","1611","California","Los Angeles","2014","Q4","Accessories","Hats,gloves,scarves","160209","12","December"
"-5.3","2","198","California","Los Angeles","2014","Q4","Accessories","Jewelry","140515","10","October"
"-41.1","3","257","California","Los Angeles","2014","Q4","Accessories","Jewelry","140515","11","November"
"-28.5","3","237","California","Los Angeles","2014","Q4","Accessories","Jewelry","143847","11","November"
"701.7","7","1393","California","Los Angeles","2014","Q4","Accessories","Jewelry","145403","10","October"
"601.5","6","1194","California","Los Angeles","2014","Q4","Accessories","Jewelry","145403","11","November"
"100.3","1","199","California","Los Angeles","2014","Q4","Accessories","Jewelry","145403","12","December"
"2445.6","31","6169","California","Los Angeles","2014","Q4","Accessories","Jewelry","145404","10","October"
"1261.1","16","3184","California","Los Angeles","2014","Q4","Accessories","Jewelry","145404","11","November"
"551.4","7","1393","California","Los Angeles","2014","Q4","Accessories","Jewelry","145404","12","December"
"-32","1","129","California","Los Angeles","2014","Q4","Accessories","Jewelry","148002","11","November"
"-10.7","1","79","California","Los Angeles","2014","Q4","Accessories","Jewelry","148540","10","October"
"2.8","1","79","California","Los Angeles","2014","Q4","Accessories","Jewelry","149110","10","October"
"-26","2","98","California","Los Angeles","2014","Q4","Accessories","Jewelry","151810","10","October"
"2506.8","20","5307","California","Los Angeles","2014","Q4","Accessories","Jewelry","155570","10","October"
"1096.1","13","2851","California","Los Angeles","2014","Q4","Accessories","Jewelry","155570","11","November"
"319.8","3","726","California","Los Angeles","2014","Q4","Accessories","Jewelry","155570","12","December"
"30386.5","406","72359","California","Los Angeles","2014","Q4","Accessories","Jewelry","155939","10","October"
"16921.5","230","40831","California","Los Angeles","2014","Q4","Accessories","Jewelry","155939","11","November"
"10187.7","150","26804","California","Los Angeles","2014","Q4","Accessories","Jewelry","155939","12","December"
"246.8","3","597","California","Los Angeles","2014","Q4","Accessories","Jewelry","156173","10","October"
"639.6","13","2069","California","Los Angeles","2014","Q4","Accessories","Jewelry","156173","11","November"
"31.5","3","338","California","Los Angeles","2014","Q4","Accessories","Jewelry","156173","12","December"
"379","4","756","California","Los Angeles","2014","Q4","Accessories","Jewelry","159438","11","November"
"2536.2","25","4935","California","Los Angeles","2014","Q4","Accessories","Jewelry","159438","12","December"
"2336.5","36","6084","California","Los Angeles","2014","Q4","Accessories","Jewelry","159705","10","October"
"2431.9","35","5915","California","Los Angeles","2014","Q4","Accessories","Jewelry","159705","11","November"
"2858.5","49","7588","California","Los Angeles","2014","Q4","Accessories","Jewelry","159705","12","December"
"222.8","3","447","California","Los Angeles","2014","Q4","Accessories","Jewelry","159907","12","December"
"71.2","1","199","California","Los Angeles","2014","Q4","Accessories","Jewelry","160370","10","October"
"975.5","16","2924","California","Los Angeles","2014","Q4","Accessories","Jewelry","160370","11","November"
"102.3","2","338","California","Los Angeles","2014","Q4","Accessories","Jewelry","160370","12","December"
"172.2","2","398","California","Los Angeles","2014","Q4","Accessories","Jewelry","160371","10","October"
"1916.2","26","4794","California","Los Angeles","2014","Q4","Accessories","Jewelry","160371","11","November"
"525.3","9","1492","California","Los Angeles","2014","Q4","Accessories","Jewelry","160371","12","December"
"94.2","1","249","California","Los Angeles","2014","Q4","Accessories","Jewelry","160812","10","October"
"94.2","1","249","California","Los Angeles","2014","Q4","Accessories","Jewelry","160812","11","November"
"-3.6","1","49","California","Los Angeles","2014","Q4","Accessories","Lounge wear","150850","10","October"
"-4","1","49","California","Los Angeles","2014","Q4","Accessories","Lounge wear","150850","11","November"
"365.5","5","811","California","Los Angeles","2014","Q4","Accessories","Lounge wear","155576","10","October"
"472.2","6","1014","California","Los Angeles","2014","Q4","Accessories","Lounge wear","155576","11","November"
"78.7","1","169","California","Los Angeles","2014","Q4","Accessories","Lounge wear","155576","12","December"
"1042.4","9","2241","California","Los Angeles","2014","Q4","Accessories","Lounge wear","159421","11","November"
"812.6","7","1743","California","Los Angeles","2014","Q4","Accessories","Lounge wear","159421","12","December"
"-5.5","2","138","California","Los Angeles","2014","Q4","City Trousers","Long lounge pants","142905","10","October"
"-52.5","4","216","California","Los Angeles","2014","Q4","City Trousers","Long lounge pants","142905","11","November"
"-51.9","3","147","California","Los Angeles","2014","Q4","City Trousers","Long lounge pants","142905","12","December"
"903.2","11","2189","California","Los Angeles","2014","Q4","Jackets","Fancy fabric","157518","10","October"
"903.2","11","2189","California","Los Angeles","2014","Q4","Jackets","Fancy fabric","157518","11","November"
"164.2","2","398","California","Los Angeles","2014","Q4","Jackets","Fancy fabric","157518","12","December"
"87.7","1","179","California","Los Angeles","2014","Q4","Jackets","Outdoor","162674","12","December"
"377.6","8","1192","California","Los Angeles","2014","Q4","Outerwear","Day wear","158152","10","October"
"1131","19","2831","California","Los Angeles","2014","Q4","Outerwear","Day wear","158152","11","November"
"508.5","8","1192","California","Los Angeles","2014","Q4","Outerwear","Day wear","158152","12","December"
"409.2","5","1245","California","Los Angeles","2014","Q4","Outerwear","Day wear","163019","12","December"
"894.9","29","2871","California","Los Angeles","2014","Q4","Outerwear","Hats,gloves,scarves","157599","10","October"
"1275.9","46","4320","California","Los Angeles","2014","Q4","Outerwear","Hats,gloves,scarves","157599","11","November"
"287.1","13","1136","California","Los Angeles","2014","Q4","Outerwear","Hats,gloves,scarves","157599","12","December"
"223.9","3","507","California","Los Angeles","2014","Q4","Sweat-T-Shirts","T-Shirts","144944","10","October"
"181.8","3","456","California","Los Angeles","2014","Q4","Sweat-T-Shirts","T-Shirts","144944","11","November"
"410.3","7","1047","California","Los Angeles","2014","Q4","Sweat-T-Shirts","T-Shirts","144944","12","December"
"3207.2","38","7562","California","Los Angeles","2014","Q4","Sweaters","Cardigan","144940","10","October"
"5558.8","75","13854","California","Los Angeles","2014","Q4","Sweaters","Cardigan","144940","11","November"
"2066.2","34","5731","California","Los Angeles","2014","Q4","Sweaters","Cardigan","144940","12","December"
"36.8","1","129","California","Los Angeles","2014","Q4","Sweaters","Soft fabric","148622","10","October"
"764.9","9","1791","California","Los Angeles","2014","Q4","Trousers","Party pants","156171","10","October"
"995.2","21","3501","California","Los Angeles","2014","Q4","Trousers","Party pants","156171","11","November"
"45","4","437","California","Los Angeles","2014","Q4","Trousers","Party pants","156171","12","December"
"74.7","2","258","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","146552","3","March"
"306.7","5","995","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","160243","1","January"
"244.7","4","795","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","160243","2","February"
"33.3","1","165","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","160243","3","March"
"200.4","2","457","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","162541","2","February"
"718.5","8","1729","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","162541","3","March"
"74.3","1","175","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","163584","1","January"
"188.1","2","398","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","163584","2","February"
"876.5","11","1998","California","Los Angeles","2015","Q1","Accessories","Belts,bags,wallets","163584","3","March"
"165","1","199","California","Los Angeles","2015","Q1","Accessories","Hair accessories","137638","2","February"
"82.5","1","179","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","144290","2","February"
"198.2","3","492","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","144290","3","March"
"345","4","676","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","144945","1","January"
"116.5","2","270","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","144945","3","March"
"35.4","2","198","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","155716","1","January"
"17.6","1","99","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","155716","3","March"
"357.2","5","951","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","159454","1","January"
"157.2","2","398","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","159454","2","February"
"74.3","2","298","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","159454","3","March"
"1037.4","12","1960","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","159908","3","March"
"1366.9","15","2642","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","160209","1","January"
"1681.9","18","3221","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","160209","2","February"
"2535","33","5244","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","160209","3","March"
"811","8","1577","California","Los Angeles","2015","Q1","Accessories","Hats,gloves,scarves","162542","3","March"
"185.5","2","379","California","Los Angeles","2015","Q1","Accessories","Jewelry","145403","1","January"
"100.3","1","199","California","Los Angeles","2015","Q1","Accessories","Jewelry","145403","2","February"
"281.1","4","650","California","Los Angeles","2015","Q1","Accessories","Jewelry","145403","3","March"
"281.7","4","756","California","Los Angeles","2015","Q1","Accessories","Jewelry","145404","1","January"
"235.8","3","597","California","Los Angeles","2015","Q1","Accessories","Jewelry","145404","2","February"
"409.6","5","1015","California","Los Angeles","2015","Q1","Accessories","Jewelry","145404","3","March"
"0","0","0","California","Los Angeles","2015","Q1","Accessories","Jewelry","155570","1","January"
"65.2","1","199","California","Los Angeles","2015","Q1","Accessories","Jewelry","155570","2","February"
"113.7","1","257","California","Los Angeles","2015","Q1","Accessories","Jewelry","155570","3","March"
"7907.6","127","22512","California","Los Angeles","2015","Q1","Accessories","Jewelry","155939","1","January"
"6297.2","99","17633","California","Los Angeles","2015","Q1","Accessories","Jewelry","155939","2","February"
"6717.5","116","20028","California","Los Angeles","2015","Q1","Accessories","Jewelry","155939","3","March"
"-1.6","5","494","California","Los Angeles","2015","Q1","Accessories","Jewelry","156173","1","January"
"-1.2","1","99","California","Los Angeles","2015","Q1","Accessories","Jewelry","156173","2","February"
"-2.8","6","594","California","Los Angeles","2015","Q1","Accessories","Jewelry","156173","3","March"
"1747.5","17","3381","California","Los Angeles","2015","Q1","Accessories","Jewelry","159438","1","January"
"1028.6","10","1990","California","Los Angeles","2015","Q1","Accessories","Jewelry","159438","2","February"
"1188.1","13","2406","California","Los Angeles","2015","Q1","Accessories","Jewelry","159438","3","March"
"1345.6","19","3148","California","Los Angeles","2015","Q1","Accessories","Jewelry","159705","1","January"
"504.6","7","1182","California","Los Angeles","2015","Q1","Accessories","Jewelry","159705","2","February"
"445.3","9","1271","California","Los Angeles","2015","Q1","Accessories","Jewelry","159705","3","March"
"816.6","11","1638","California","Los Angeles","2015","Q1","Accessories","Jewelry","159907","1","January"
"2131.5","27","4052","California","Los Angeles","2015","Q1","Accessories","Jewelry","159907","2","February"
"1725.2","23","3302","California","Los Angeles","2015","Q1","Accessories","Jewelry","159907","3","March"
"75.9","1","199","California","Los Angeles","2015","Q1","Accessories","Jewelry","160370","1","January"
"-25.8","4","396","California","Los Angeles","2015","Q1","Accessories","Jewelry","160370","3","March"
"170.4","2","398","California","Los Angeles","2015","Q1","Accessories","Jewelry","160371","1","January"
"21.3","8","792","California","Los Angeles","2015","Q1","Accessories","Jewelry","160371","3","March"
"188.4","2","498","California","Los Angeles","2015","Q1","Accessories","Jewelry","160812","3","March"
"78.7","1","169","California","Los Angeles","2015","Q1","Accessories","Lounge wear","155576","1","January"
"78.7","1","169","California","Los Angeles","2015","Q1","Accessories","Lounge wear","155576","2","February"
"91","2","258","California","Los Angeles","2015","Q1","Accessories","Lounge wear","155576","3","March"
"664.1","6","1464","California","Los Angeles","2015","Q1","Accessories","Lounge wear","159421","1","January"
"435.9","4","946","California","Los Angeles","2015","Q1","Accessories","Lounge wear","159421","2","February"
"-105.8","-1","-249","California","Los Angeles","2015","Q1","Accessories","Lounge wear","159421","3","March"
"472.5","6","968","California","Los Angeles","2015","Q1","Accessories","Lounge wear","160556","3","March"
"983.2","13","2146","California","Los Angeles","2015","Q1","Accessories","Lounge wear","161363","1","January"
"553.7","7","1183","California","Los Angeles","2015","Q1","Accessories","Lounge wear","161363","2","February"
"499.9","7","1145","California","Los Angeles","2015","Q1","Accessories","Lounge wear","161363","3","March"
"32.1","1","129","California","Los Angeles","2015","Q1","City Skirts","Mini city","128390","3","March"
"332.3","4","714","California","Los Angeles","2015","Q1","Dresses","Casual dresses","162655","1","January"
"748","9","1609","California","Los Angeles","2015","Q1","Dresses","Casual dresses","162655","2","February"
"1249.7","17","2842","California","Los Angeles","2015","Q1","Dresses","Casual dresses","162655","3","March"
"98.2","1","199","California","Los Angeles","2015","Q1","Dresses","Casual dresses","163506","2","February"
"79.7","1","176","California","Los Angeles","2015","Q1","Dresses","Casual dresses","163506","3","March"
"175.3","2","358","California","Los Angeles","2015","Q1","Jackets","Outdoor","162674","1","January"
"578.8","7","1223","California","Los Angeles","2015","Q1","Jackets","Outdoor","162674","2","February"
"1017.6","13","2194","California","Los Angeles","2015","Q1","Jackets","Outdoor","162674","3","March"
"65.4","1","169","California","Los Angeles","2015","Q1","Jackets","Outdoor","163907","1","January"
"1119.3","17","2858","California","Los Angeles","2015","Q1","Jackets","Outdoor","163907","2","February"
"814.9","13","2122","California","Los Angeles","2015","Q1","Jackets","Outdoor","163907","3","March"
"2862.2","42","6220","California","Los Angeles","2015","Q1","Outerwear","Day wear","158152","1","January"
"4478.6","78","10787","California","Los Angeles","2015","Q1","Outerwear","Day wear","158152","2","February"
"3955.9","75","9827","California","Los Angeles","2015","Q1","Outerwear","Day wear","158152","3","March"
"439.7","6","1421","California","Los Angeles","2015","Q1","Outerwear","Day wear","163019","1","January"
"421.9","5","1242","California","Los Angeles","2015","Q1","Outerwear","Day wear","163019","2","February"
"72.6","1","239","California","Los Angeles","2015","Q1","Outerwear","Day wear","163019","3","March"
"349.6","11","1089","California","Los Angeles","2015","Q1","Outerwear","Hats,gloves,scarves","157599","1","January"
"351.6","11","1088","California","Los Angeles","2015","Q1","Outerwear","Hats,gloves,scarves","157599","2","February"
"106.2","5","435","California","Los Angeles","2015","Q1","Outerwear","Hats,gloves,scarves","157599","3","March"
"81.8","1","199","California","Los Angeles","2015","Q1","Shirt Waist","Short sleeve","165197","2","February"
"325.8","5","895","California","Los Angeles","2015","Q1","Shirt Waist","Short sleeve","165197","3","March"
"432.5","5","995","California","Los Angeles","2015","Q1","Shirt Waist","Short sleeve","166136","2","February"
"485.7","8","1343","California","Los Angeles","2015","Q1","Shirt Waist","Short sleeve","166136","3","March"
"74.6","1","169","California","Los Angeles","2015","Q1","Sweat-T-Shirts","T-Shirts","144944","2","February"
"82.9","2","258","California","Los Angeles","2015","Q1","Sweat-T-Shirts","T-Shirts","144944","3","March"
"236.6","2","496","California","Los Angeles","2015","Q1","Sweat-T-Shirts","T-Shirts","164356","2","February"
"667.5","6","1434","California","Los Angeles","2015","Q1","Sweat-T-Shirts","T-Shirts","164356","3","March"
"396","5","995","California","Los Angeles","2015","Q1","Sweaters","Cardigan","144940","1","January"
"1242.8","14","2783","California","Los Angeles","2015","Q1","Sweaters","Cardigan","144940","2","February"
"486.6","7","1237","California","Los Angeles","2015","Q1","Sweaters","Cardigan","144940","3","March"
"100.7","1","199","California","Los Angeles","2015","Q1","Trousers","Jeans","163490","2","February"
"89.7","1","185","California","Los Angeles","2015","Q1","Trousers","Jeans","163490","3","March"
"145.1","2","398","California","Los Angeles","2015","Q1","Trousers","Party pants","156171","1","January"
"145.1","2","398","California","Los Angeles","2015","Q1","Trousers","Party pants","156171","2","February"
